Unnamed: 0,link,title,category,hottness,number_of_comments,price_after_discount,price_before_discount,percentage_change_in_price,place_of_bargain_price
52,https://www.pepper.pl/promocje/konsola-sony-playstation-5-z-napedem-dodatkowy-pad-dualsense-the-last-of-us-part-i-god-of-war-ragnarok-at-empik-684431,Konsola Sony PlayStation 5 z napędem + dodatkowy Pad DualSense + The Last of Us Part I + God of War Ragnarok @ Empik,"['Home', 'Gaming', 'Konsole', 'PS5']",391,55,2.999zł,-1,-1,Empik
53,https://www.pepper.pl/promocje/odkurzacz-workowy-daewoo-dwc212-700-w-3-litry-at-carrefour-684389,"Odkurzacz workowy Daewoo DWC212 (700 W, 3 litry) @ Carrefour","['Home', 'Dom i mieszkanie', 'AGD', 'Odkurzacze']",205,17,"99,99zł",159zł,-37%,Carrefour
54,https://www.pepper.pl/promocje/kaseta-shimano-105-r7000-11-28-11rzedowa-szosowa-684434,Kaseta Shimano 105 R7000 11-28 11 rzędowa szosowa,"['Home', 'Sport i turystyka', 'Sporty rowerowe i miejskie', 'Sporty rowerowe', 'Rowery']",723,57,"162,34zł","192,05zł",-15%,Amazon.pl
55,https://www.pepper.pl/promocje/za-darmo-pc-game-the-weird-gamma-at-itchio-683561,Za Darmo PC Game: The Weird Gamma at Itch.io,"['Home', 'Elektronika', 'Komputery i tablety']",308,0,ZA DARMO,"0,01zł",-1,place_of_bargain_price_not_available
56,https://www.pepper.pl/promocje/piwo-belfast-05l-puszka-alk-65-at-dino-684403,"Piwo Belfast 0,5l Puszka alk 6,5% @Dino","['Home', 'Artykuły spożywcze', 'Napoje', 'Piwo']",700,22,"2,99zł","3,99zł",-25%,Dino
57,https://www.pepper.pl/promocje/siatka-do-gry-badmintona-tenisa-na-stelazu-z-regulacja-wysokosci-5m-x-107-155m-at-amazon-684369,"Siatka do gry (badmintona, tenisa) na stelażu z regulacją wysokości, 5m x 1.07-1.55m @ Amazon","['Home', 'Rodzina i dzieci', 'Zabawki', 'Zabawki ogrodowe']",300,29,"135,79zł","193,99zł",-30%,Amazon.pl
58,https://www.pepper.pl/promocje/de-karta-graficzna-msi-radeon-rx-6800-gaming-z-trio-16gb-399euro-684436,(DE) Karta graficzna MSI Radeon RX 6800 GAMING Z TRIO 16GB 399euro,"['Home', 'Elektronika', 'Komputery i tablety', 'Podzespoły komputerowe', 'Karty graficzne', 'Radeon RX 6800']",1161,123,1.779zł,-1,-1,alternate.de
59,https://www.pepper.pl/promocje/dio-holy-diver-684385,Dio - Holy Diver Remastered CD,"['Home', 'Kultura i rozrywka', 'Muzyka', 'CD']",544,31,"23,15zł","61,99zł",-63%,Amazon.pl
60,https://www.pepper.pl/kupony/10-na-customowe-czesci-do-seiko-skx-srpe-srpd-turtle-i-innych-na-namokimodscom-szkielka-bezele-wskazowki-itd-zegarek-mod-683943,"10% na customowe części do Seiko SKX, SRPE, SRPD, Turtle i innych na namokimods.com - szkiełka, bezele, wskazówki itd., zegarek, mod","['Home', 'Moda', 'Akcesoria modowe', 'Zegarki']",371,26,-1,-1,-1,place_of_bargain_price_not_available
61,https://www.pepper.pl/promocje/mleko-uht-uchate-2-limit-12-sztuk-stokrotka-683617,Mleko UHT Uchate 2% przy zakupie 3 sztuk Limit 12 sztuk @Stokrotka,"['Home', 'Artykuły spożywcze', 'Napoje', 'Mleka']",340,20,"2,49zł",-1,-1,Stokrotka
62,https://www.pepper.pl/promocje/team-group-1tb-m2-pcie-nvme-mp33-684408,Team Group M.2 SSD 1TB M.2 PCIe NVMe MP33,"['Home', 'Elektronika', 'Komputery i tablety', 'Podzespoły komputerowe', 'SSD', 'M.2 SSD']",336,139,"99,99zł",179zł,-44%,x-kom
63,https://www.pepper.pl/promocje/lublin-know-hau-czyli-bezplatne-szkolenia-czworonogow-684355,"Lublin - ""Know Hau"", czyli bezpłatne szkolenia czworonogów","['Home', 'Usługi i subskrypcje', 'Szkolenia i kursy']",575,6,-1,-1,-1,place_of_bargain_price_not_available
64,https://www.pepper.pl/promocje/hamak-jungle-snugpak-terrain-675191,Hamak Jungle Snugpak Terrain z Moskitierą,"['Home', 'Ogród i majsterkowanie', 'Ogród', 'Meble ogrodowe', 'Hamaki']",342,35,220zł,445zł,-51%,place_of_bargain_price_not_available
65,https://www.pepper.pl/promocje/disney-6000-pkt-payback-60zl-684193,Disney+ + 6000 pkt Payback (60zł),"['Home', 'Kultura i rozrywka']",461,94,"289,90zł",-1,-1,Disney +
66,https://www.pepper.pl/promocje/dysk-ssd-team-group-512gb-25-sata-cx2-684388,"Dysk SSD Team Group 512GB 2,5” SATA CX2","['Home', 'Elektronika', 'Komputery i tablety', 'Podzespoły komputerowe', 'SSD']",425,39,"60,99zł",-1,-1,x-kom
67,https://www.pepper.pl/promocje/plecak-turystyczny-684233,Plecak turystyczny,"['Home', 'Moda', 'Akcesoria modowe', 'Bagaż', 'Plecaki']",341,25,"69,90zł",83zł,-16%,Biedronka Home
68,https://www.pepper.pl/promocje/amnesia-a-machine-for-pigs-za-darmo-na-gog-684379,Amnesia: A Machine For Pigs za darmo na gog,"['Home', 'Gaming']",1025,8,ZA DARMO,"10,35zł",-1,GOG
69,https://www.pepper.pl/promocje/victorinox-scyzoryk-handyman-24-funkcje-kombinerki-itp-itd-amazon-prime-684377,"Victorinox scyzoryk Handyman (24 funkcje, kombinerki, itp itd) Amazon PRIME","['Home', 'Sport i turystyka', 'Camping']",625,72,"231,99zł","343,55zł",-32%,Amazon.pl
70,https://www.pepper.pl/promocje/songmics-biurko-elektryczne-z-regulacja-wysokosci-stal-czarny-lsd019b01-684165,"SONGMICS Biurko elektryczne z regulacją wysokości, stal, czarny LSD019B01","['Home', 'Gaming']",343,84,"783,74zł",-1,-1,Amazon.pl
71,https://www.pepper.pl/kupony/pyszne-lunch-20-zl-mwz-45-zl-684393,Pyszne lunch -20 zł MWZ 45 zł,"['Home', 'Usługi i subskrypcje', 'Restauracje']",4306,154,-1,-1,-1,Pyszne.pl
72,https://www.pepper.pl/promocje/buty-do-koszykowki-meskie-nike-jordan-stay-loyal-2-684358,Buty do koszykówki męskie Nike Jordan Stay Loyal 2,"['Home', 'Moda', 'Obuwie', 'Buty Nike']",719,80,275zł,380zł,-28%,Zalando
73,https://www.pepper.pl/promocje/playmobil-70176-volkswagen-t1-camping-bus-683884,PLAYMOBIL 70176 Volkswagen T1 Camping Bus,"['Home', 'Rodzina i dzieci', 'Zabawki', 'Klocki']",348,2,116zł,169zł,-31%,Amazon.de
74,https://www.pepper.pl/promocje/zelki-dzdzownice-misie-lub-kwasne-robaki-200g-pry-zakupie-2-opak-at-dino-684328,"Żelki dżdżownice, misie lub kwaśne robaki 200g pry zakupie 2 opak. @Dino","['Home', 'Artykuły spożywcze', 'Jedzenie', 'Słodycze']",442,4,"2,25zł","4,49zł",-50%,Dino
75,https://www.pepper.pl/promocje/bezplatne-kursy-jazdy-na-autostradzie-dla-kursantow-dla-osk-dla-naszego-bezpieczenstwa-684346,"Bezpłatne „Kursy jazdy na autostradzie” - dla kursantów, dla osk, dla naszego bezpieczeństwa","['Home', 'Usługi i subskrypcje', 'Szkolenia i kursy']",917,113,-1,-1,-1,place_of_bargain_price_not_available
76,https://www.pepper.pl/promocje/filety-z-lososia-pacyficznego-mrozone-kaufland-blad-cenowy-684257,"Filety z łososia pacyficznego, mrożone, Kaufland, błąd cenowy","['Home', 'Różne', 'Supermarket']",337,45,"8,10zł",18zł,-55%,Kaufland
77,https://www.pepper.pl/promocje/ekspres-cisnieniowy-kolbowy-cecotec-cafelizzia-790-1350-w20-bar-srebrny-at-amazon-684279,Ekspres ciśnieniowy kolbowy Cecotec Cafelizzia 790 (1350 W/20 bar) srebrny @amazon,"['Home', 'Dom i mieszkanie', 'Małe AGD do kuchni', 'Ekspresy do kawy']",317,9,"399,52zł",489zł,-18%,Amazon.pl
78,https://www.pepper.pl/promocje/kosa-spalinowa-mountfield-684122,Kosa spalinowa Mountfield,"['Home', 'Ogród i majsterkowanie', 'Ogród', 'Pielęgnacja ogrodu']",388,109,548zł,1.098zł,-50%,Castorama
79,https://www.pepper.pl/promocje/songmics-pudelka-do-przechowywania-bielizny-zestaw-8-sztuk-kolor-szary-rus08gy-679508,"SONGMICS Pudełka do przechowywania bielizny, zestaw 8 sztuk, kolor szary RUS08GY","['Home', 'Dom i mieszkanie']",467,25,"60,79zł","75,99zł",-20%,Amazon.pl
80,https://www.pepper.pl/promocje/plyn-do-wc-domestos-1250-ml-stokrotka-684245,Płyn do WC Domestos 1250 ml. Stokrotka,"['Home', 'Różne', 'Supermarket']",342,4,"6,49zł",-1,-1,Stokrotka
81,https://www.pepper.pl/promocje/projektor-dlp-samsung-the-freestyle-bialy-684286,Projektor DLP Samsung The Freestyle biały,"['Home', 'Elektronika', 'TV i wideo', 'Projektory']",416,59,"1.986,65zł","2.207,39zł",-10%,Allegro
82,https://www.pepper.pl/promocje/koszulki-pullbear-3-pack-dwa-zestawy-kolorystyczne-do-wyboru-684072,Koszulki Pull&Bear - 3 PACK dwa zestawy kolorystyczne do wyboru,"['Home', 'Moda', 'Odzież', 'Koszulki']",441,32,"75,90zł",-1,-1,Zalando
